"tactic","type","technique","subtechnique","id","url","description"
"Initial Access","subtechnique","Supply Chain Compromise","Compromise Software Supply Chain ","T1195.002","https://attack.mitre.org/techniques/T1195/002","Adversaries may manipulate application software prior to receipt by a final consumer for the purpose of data or system compromise. Supply chain compromise of software can take place in a number of ways, including manipulation of the application source code, manipulation of the update/distribution mechanism for that software, or replacing compiled releases with a modified version."
"Initial Access","subtechnique","Supply Chain Compromise","Compromise Hardware Supply Chain ","T1195.003","https://attack.mitre.org/techniques/T1195/003","Adversaries may manipulate hardware components in products prior to receipt by a final consumer for the purpose of data or system compromise. By modifying hardware or firmware in the supply chain, adversaries can insert a backdoor into consumer networks that may be difficult to detect and give the adversary a high degree of control over the system. Hardware backdoors may be inserted into various devices, such as servers, workstations, network infrastructure, or peripherals."
"Initial Access","technique","Trusted Relationship",,"T1199","https://attack.mitre.org/techniques/T1199","Adversaries may breach or otherwise leverage organizations who have access to intended victims. Access through trusted third party relationship exploits an existing connection that may not be protected or receives less scrutiny than standard mechanisms of gaining access to a network."
"Initial Access","technique","Valid Accounts",,"T1078","https://attack.mitre.org/techniques/T1078","Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Compromised credentials may be used to bypass access controls placed on various resources on systems within the network and may even be used for persistent access to remote systems and externally available services, such as VPNs, Outlook Web Access and remote desktop. Compromised credentials may also grant an adversary increased privilege to specific systems or access to restricted areas of the network. Adversaries may choose not to use malware or tools in conjunction with the legitimate access those credentials provide to make it harder to detect their presence."
"Initial Access","subtechnique","Valid Accounts","Default Accounts","T1078.001","https://attack.mitre.org/techniques/T1078/001","Adversaries may obtain and abuse credentials of a default account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Default accounts are those that are built-into an OS, such as the Guest or Administrator accounts on Windows systems or default factory/provider set accounts on other types of systems, software, or devices."
"Initial Access","subtechnique","Valid Accounts","Domain Accounts","T1078.002","https://attack.mitre.org/techniques/T1078/002","Adversaries may obtain and abuse credentials of a domain account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Domain accounts are those managed by Active Directory Domain Services where access and permissions are configured across systems and services that are part of that domain. Domain accounts can cover users, administrators, and services."
"Initial Access","subtechnique","Valid Accounts","Local Accounts","T1078.003","https://attack.mitre.org/techniques/T1078/003","Adversaries may obtain and abuse credentials of a local account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Local accounts are those configured by an organization for use by users, remote support, services, or for administration on a single system or service."
"Initial Access","subtechnique","Valid Accounts","Cloud Accounts","T1078.004","https://attack.mitre.org/techniques/T1078/004","Adversaries may obtain and abuse credentials of a cloud account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Cloud accounts are those created and configured by an organization for use by users, remote support, services, or for administration of resources within a cloud service provider or SaaS application. In some cases, cloud accounts may be federated with traditional identity management system, such as Window Active Directory."
"Execution","tactic",,,"TA0002","https://attack.mitre.org/tactics/TA0002/","The adversary is trying to run malicious code. Execution consists of techniques that result in adversary-controlled code running on a local or remote system. Techniques that run malicious code are often paired with techniques from all other tactics to achieve broader goals, like exploring a network or stealing data. For example, an adversary might use a remote access tool to run a PowerShell script that does Remote System Discovery."
"Execution","technique","Command and Scripting Interpreter",,"T1059","https://attack.mitre.org/techniques/T1059","Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries. These interfaces and languages provide ways of interacting with computer systems and are a common feature across many different platforms. Most systems come with some built-in command-line interface and scripting capabilities, for example, macOS and Linux distributions include some flavor of Unix Shell while Windows installations include the Windows Command Shell and PowerShell."
"Execution","subtechnique","Command and Scripting Interpreter","PowerShell","T1059.001","https://attack.mitre.org/techniques/T1059/001","Adversaries may abuse PowerShell commands and scripts for execution. PowerShell is a powerful interactive command-line interface and scripting environment included in the Windows operating system. Adversaries can use PowerShell to perform a number of actions, including discovery of information and execution of code. Examples include the Start-Process cmdlet which can be used to run an executable and the Invoke-Command cmdlet which runs a command locally or on a remote computer (though administrator permissions are required to use PowerShell to connect to remote systems)."
"Execution","subtechnique","Command and Scripting Interpreter","AppleScript","T1059.002","https://attack.mitre.org/techniques/T1059/002","Adversaries may abuse AppleScript for execution. AppleScript is a macOS scripting language designed to control applications and parts of the OS via inter-application messages called AppleEvents. These AppleEvent messages can be easily scripted with AppleScript for local or remote execution."
"Execution","subtechnique","Command and Scripting Interpreter","Windows Command Shell","T1059.003","https://attack.mitre.org/techniques/T1059/003","Adversaries may abuse the Windows command shell for execution. The Windows command shell (cmd.exe) is the primary command prompt on Windows systems. The Windows command prompt can be used to control almost any aspect of a system, with various permission levels required for different subsets of commands."
"Execution","subtechnique","Command and Scripting Interpreter","Unix Shell","T1059.004","https://attack.mitre.org/techniques/T1059/004","Adversaries may abuse Unix shell commands and scripts for execution. Unix shells are the primary command prompt on Linux and macOS systems, though many variations of the Unix shell exist (e.g. sh, bash, zsh, etc.) depending on the specific OS or distribution. Unix shells can control every aspect of a system, with certain commands requiring elevated privileges."
"Execution","subtechnique","Command and Scripting Interpreter","Visual Basic","T1059.005","https://attack.mitre.org/techniques/T1059/005","Adversaries may abuse Visual Basic (VB) for execution. VB is a programming language created by Microsoft with interoperability with many Windows technologies such as Component Object Model and the Native API through the Windows API. Although tagged as legacy with no planned future evolutions, VB is integrated and supported in the .NET Framework and cross-platform .NET Core."
"Execution","subtechnique","Command and Scripting Interpreter","Python","T1059.006","https://attack.mitre.org/techniques/T1059/006","Adversaries may abuse Python commands and scripts for execution. Python is a very popular scripting/programming language, with capabilities to perform many functions. Python can be executed interactively from the command-line (via the python.exe interpreter) or via scripts (.py) that can be written and distributed to different systems. Python code can also be compiled into binary executables."
"Execution","subtechnique","Command and Scripting Interpreter","JavaScript/JScript","T1059.007","https://attack.mitre.org/techniques/T1059/007","Adversaries may abuse JavaScript and/or JScript for execution. JavaScript (JS) is a platform-agnostic scripting language (compiled just-in-time at runtime) commonly associated with scripts in webpages, though JS can be executed in runtime environments outside the browser."
"Execution","technique","Exploitation for Client Execution",,"T1203","https://attack.mitre.org/techniques/T1203","Adversaries may exploit software vulnerabilities in client applications to execute code. Vulnerabilities can exist in software due to unsecure coding practices that can lead to unanticipated behavior. Adversaries can take advantage of certain vulnerabilities through targeted exploitation for the purpose of arbitrary code execution. Oftentimes the most valuable exploits to an offensive toolkit are those that can be used to obtain code execution on a remote system because they can be used to gain access to that system. Users will expect to see files related to the applications they commonly used to do work, so they are a useful target for exploit research and development because of their high utility."
"Execution","technique","Inter-Process Communication",,"T1559","https://attack.mitre.org/techniques/T1559","Adversaries may abuse inter-process communication (IPC) mechanisms for local code or command execution. IPC is typically used by processes to share data, communicate with each other, or synchronize execution. IPC is also commonly used to avoid situations such as deadlocks, which occurs when processes are stuck in a cyclic waiting pattern. "
"Execution","subtechnique","Inter-Process Communication","Component Object Model","T1559.001","https://attack.mitre.org/techniques/T1559/001","Adversaries may use the Windows Component Object Model (COM) for local code execution. COM is an inter-process communication (IPC) component of the native Windows application programming interface (API) that enables interaction between software objects, or executable code that implements one or more interfaces. Through COM, a client object can call methods of server objects, which are typically binary Dynamic Link Libraries (DLL) or executables (EXE)."
"Execution","subtechnique","Inter-Process Communication","Dynamic Data Exchange","T1559.002","https://attack.mitre.org/techniques/T1559/002","Adversaries may use Windows Dynamic Data Exchange (DDE) to execute arbitrary commands. DDE is a client-server protocol for one-time and/or continuous inter-process communication (IPC) between applications. Once a link is established, applications can autonomously exchange transactions consisting of strings, warm data links (notifications when a data item changes), hot data links (duplications of changes to a data item), and requests for command execution."
"Execution","technique","Native API",,"T1106","https://attack.mitre.org/techniques/T1106","Adversaries may directly interact with the native OS application programming interface (API) to execute behaviors. Native APIs provide a controlled means of calling low-level OS services within the kernel, such as those involving hardware/devices, memory, and processes. These native APIs are leveraged by the OS during system boot (when other system components are not yet initialized) as well as carrying out tasks and requests during routine operations."
"Execution","technique","Scheduled Task/Job",,"T1053","https://attack.mitre.org/techniques/T1053","Adversaries may abuse task scheduling functionality to facilitate initial or recurring execution of malicious code. Utilities exist within all major operating systems to schedule programs or scripts to be executed at a specified date and time. A task can also be scheduled on a remote system, provided the proper authentication is met (ex: RPC and file and printer sharing in Windows environments). Scheduling a task on a remote system typically requires being a member of an admin or otherwise privileged group on the remote system."
"Execution","subtechnique","Scheduled Task/Job","At (Linux)","T1053.001","https://attack.mitre.org/techniques/T1053/001","Adversaries may abuse the at utility to perform task scheduling for initial or recurring execution of malicious code. The at command within Linux operating systems enables administrators to schedule tasks."
"Execution","subtechnique","Scheduled Task/Job","At (Windows)","T1053.002","https://attack.mitre.org/techniques/T1053/002","Adversaries may abuse the at.exe utility to perform task scheduling for initial or recurring execution of malicious code. The at utility exists as an executable within Windows for scheduling tasks at a specified time and date. Using at requires that the Task Scheduler service be running, and the user to be logged on as a member of the local Administrators group."
"Execution","subtechnique","Scheduled Task/Job","Cron","T1053.003","https://attack.mitre.org/techniques/T1053/003","Adversaries may abuse the cron utility to perform task scheduling for initial or recurring execution of malicious code. The cron utility is a time-based job scheduler for Unix-like operating systems. The crontab file contains the schedule of cron entries to be run and the specified times for execution. Any crontab files are stored in operating system-specific file paths."
"Execution","subtechnique","Scheduled Task/Job","Launchd","T1053.004","https://attack.mitre.org/techniques/T1053/004","Adversaries may abuse the Launchd daemon to perform task scheduling for initial or recurring execution of malicious code. The launchd daemon, native to macOS, is responsible for loading and maintaining services within the operating system. This process loads the parameters for each launch-on-demand system-level daemon from the property list (plist) files found in /System/Library/LaunchDaemons and /Library/LaunchDaemons . These LaunchDaemons have property list files which point to the executables that will be launched."
"Execution","subtechnique","Scheduled Task/Job","Scheduled Task","T1053.005","https://attack.mitre.org/techniques/T1053/005","Adversaries may abuse the Windows Task Scheduler to perform task scheduling for initial or recurring execution of malicious code. There are multiple ways to access the Task Scheduler in Windows. The schtasks can be run directly on the command line, or the Task Scheduler can be opened through the GUI within the Administrator Tools section of the Control Panel. In some cases, adversaries have used a .NET wrapper for the Windows Task Scheduler, and alternatively, adversaries have used the Windows netapi32 library to create a scheduled task."
"Execution","technique","Shared Modules",,"T1129","https://attack.mitre.org/techniques/T1129","Adversaries may abuse shared modules to execute malicious payloads. The Windows module loader can be instructed to load DLLs from arbitrary local paths and arbitrary Universal Naming Convention (UNC) network paths. This functionality resides in NTDLL.dll and is part of the Windows Native API which is called from functions like CreateProcess, LoadLibrary, etc. of the Win32 API."
"Execution","technique","Software Deployment Tools",,"T1072","https://attack.mitre.org/techniques/T1072","Adversaries may gain access to and use third-party software suites installed within an enterprise network, such as administration, monitoring, and deployment systems, to move laterally through the network. Third-party applications and software deployment systems may be in use in the network environment for administration purposes (e.g., SCCM, VNC, HBSS, Altiris, etc.)."
"Execution","technique","System Services",,"T1569","https://attack.mitre.org/techniques/T1569","Adversaries may abuse system services or daemons to execute commands or programs. Adversaries can execute malicious content by interacting with or creating services. Many services are set to run at boot, which can aid in achieving persistence (Create or Modify System Process), but adversaries can also abuse services for one-time or temporary execution."
"Execution","subtechnique","System Services","Launchctl","T1569.001","https://attack.mitre.org/techniques/T1569/001","Adversaries may abuse launchctl to execute commands or programs. Launchctl controls the macOS launchd process, which handles things like Launch Agents and Launch Daemons, but can execute other commands or programs itself. Launchctl supports taking subcommands on the command-line, interactively, or even redirected from standard input."
"Execution","subtechnique","System Services","Service Execution","T1569.002","https://attack.mitre.org/techniques/T1569/002","Adversaries may abuse the Windows service control manager to execute malicious commands or payloads. The Windows service control manager (services.exe) is an interface to manage and manipulate services. The service control manager is accessible to users via GUI components as well as system utilities such as sc.exe and Net."
"Execution","technique","User Execution",,"T1204","https://attack.mitre.org/techniques/T1204","An adversary may rely upon specific actions by a user in order to gain execution. Users may be subjected to social engineering to get them to execute malicious code by, for example, opening a malicious document file or link. These user actions will typically be observed as follow-on behavior from forms of Phishing."
"Execution","subtechnique","User Execution","Malicious Link","T1204.001","https://attack.mitre.org/techniques/T1204/001","An adversary may rely upon a user clicking a malicious link in order to gain execution. Users may be subjected to social engineering to get them to click on a link that will lead to code execution. This user action will typically be observed as follow-on behavior from Spearphishing Link. Clicking on a link may also lead to other execution techniques such as exploitation of a browser or application vulnerability via Exploitation for Client Execution. Links may also lead users to download files that require execution via Malicious File."
"Execution","subtechnique","User Execution","Malicious File","T1204.002","https://attack.mitre.org/techniques/T1204/002","An adversary may rely upon a user opening a malicious file in order to gain execution. Users may be subjected to social engineering to get them to open a file that will lead to code execution. This user action will typically be observed as follow-on behavior from Spearphishing Attachment. Adversaries may use several types of files that require a user to execute them, including .doc, .pdf, .xls, .rtf, .scr, .exe, .lnk, .pif, and .cpl."
"Execution","technique","Windows Management Instrumentation",,"T1047","https://attack.mitre.org/techniques/T1047","Adversaries may abuse Windows Management Instrumentation (WMI) to achieve execution. WMI is a Windows administration feature that provides a uniform environment for local and remote access to Windows system components. It relies on the WMI service for local and remote access and the server message block (SMB) and Remote Procedure Call Service (RPCS) for remote access. RPCS operates over port 135. "
"Persistence","tactic",,,"TA0003","https://attack.mitre.org/tactics/TA0003/","The adversary is trying to maintain their foothold. Persistence consists of techniques that adversaries use to keep access to systems across restarts, changed credentials, and other interruptions that could cut off their access. Techniques used for persistence include any access, action, or configuration changes that let them maintain their foothold on systems, such as replacing or hijacking legitimate code or adding startup code."
"Persistence","technique","Account Manipulation",,"T1098","https://attack.mitre.org/techniques/T1098","Adversaries may manipulate accounts to maintain access to victim systems. Account manipulation may consist of any action that preserves adversary access to a compromised account, such as modifying credentials or permission groups. These actions could also include account activity designed to subvert security policies, such as performing iterative password updates to bypass password duration policies and preserve the life of compromised credentials. In order to create or manipulate accounts, the adversary must already have sufficient permissions on systems or the domain."
"Persistence","subtechnique","Account Manipulation","Additional Azure Service Principal Credentials","T1098.001","https://attack.mitre.org/techniques/T1098/001","Adversaries may add adversary-controlled credentials for Azure Service Principals in addition to existing legitimate credentials to maintain persistent access to victim Azure accounts. Azure Service Principals support both password and certificate credentials. With sufficient permissions, there are a variety of ways to add credentials including the Azure Portal, Azure command line interface, and Azure or Az PowerShell modules."
"Persistence","subtechnique","Account Manipulation","Exchange Email Delegate Permissions","T1098.002","https://attack.mitre.org/techniques/T1098/002","Adversaries may grant additional permission levels, such as ReadPermission or FullAccess, to maintain persistent access to an adversary-controlled email account. The Add-MailboxPermission PowerShell cmdlet, available in on-premises Exchange and in the cloud-based service Office 365, adds permissions to a mailbox."
"Persistence","subtechnique","Account Manipulation","Add Office 365 Global Administrator Role","T1098.003","https://attack.mitre.org/techniques/T1098/003","An adversary may add the Global Administrator role to an adversary-controlled account to maintain persistent access to an Office 365 tenant. With sufficient permissions, a compromised account can gain almost unlimited access to data and settings (including the ability to reset the passwords of other admins) via the global admin role."
"Persistence","subtechnique","Account Manipulation","SSH Authorized Keys","T1098.004","https://attack.mitre.org/techniques/T1098/004","Adversaries may modify the SSH authorized_keys file to maintain persistence on a victim host. Linux distributions and macOS commonly use key-based authentication to secure the authentication process of SSH sessions for remote management. The authorized_keys file in SSH specifies the SSH keys that can be used for logging into the user account for which the file is configured. This file is usually found in the user's home directory under <user-home>/.ssh/authorized_keys. Users may edit the system’s SSH config file to modify the directives PubkeyAuthentication and RSAAuthentication to the value ""yes"" to ensure public key and RSA authentication are enabled. The SSH config file is usually located under /etc/ssh/sshd_config."
"Persistence","technique","BITS Jobs",,"T1197","https://attack.mitre.org/techniques/T1197","Adversaries may abuse BITS jobs to persistently execute or clean up after malicious payloads. Windows Background Intelligent Transfer Service (BITS) is a low-bandwidth, asynchronous file transfer mechanism exposed through Component Object Model (COM). BITS is commonly used by updaters, messengers, and other applications preferred to operate in the background (using available idle bandwidth) without interrupting other networked applications. File transfer tasks are implemented as BITS jobs, which contain a queue of one or more file operations."
"Persistence","technique","Boot or Logon Autostart Execution",,"T1547","https://attack.mitre.org/techniques/T1547","Adversaries may configure system settings to automatically execute a program during system boot or logon to maintain persistence or gain higher-level privileges on compromised systems. Operating systems may have mechanisms for automatically running a program on system boot or account logon.  These mechanisms may include automatically executing programs that are placed in specially designated directories or are referenced by repositories that store configuration information, such as the Windows Registry. An adversary may achieve the same goal by modifying or extending features of the kernel."
"Persistence","subtechnique","Boot or Logon Autostart Execution","Registry Run Keys / Startup Folder","T1547.001","https://attack.mitre.org/techniques/T1547/001","Adversaries may achieve persistence by adding a program to a startup folder or referencing it with a Registry run key. Adding an entry to the ""run keys"" in the Registry or startup folder will cause the program referenced to be executed when a user logs in. These programs will be executed under the context of the user and will have the account's associated permissions level."
"Persistence","subtechnique","Boot or Logon Autostart Execution","Authentication Package","T1547.002","https://attack.mitre.org/techniques/T1547/002","Adversaries may abuse authentication packages to execute DLLs when the system boots. Windows authentication package DLLs are loaded by the Local Security Authority (LSA) process at system start. They provide support for multiple logon processes and multiple security protocols to the operating system. "
"Persistence","subtechnique","Boot or Logon Autostart Execution","Time Providers","T1547.003","https://attack.mitre.org/techniques/T1547/003","Adversaries may abuse time providers to execute DLLs when the system boots. The Windows Time service (W32Time) enables time synchronization across and within domains. W32Time time providers are responsible for retrieving time stamps from hardware/network resources and outputting these values to other network clients."
"Persistence","subtechnique","Boot or Logon Autostart Execution","Winlogon Helper DLL","T1547.004","https://attack.mitre.org/techniques/T1547/004","Adversaries may abuse features of Winlogon to execute DLLs and/or executables when a user logs in. Winlogon.exe is a Windows component responsible for actions at logon/logoff as well as the secure attention sequence (SAS) triggered by Ctrl-Alt-Delete. Registry entries in HKLM\Software[\Wow6432Node\]\Microsoft\Windows NT\CurrentVersion\Winlogon\ and HKCU\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\ are used to manage additional helper programs and functionalities that support Winlogon. "
"Persistence","subtechnique","Boot or Logon Autostart Execution","Security Support Provider","T1547.005","https://attack.mitre.org/techniques/T1547/005","Adversaries may abuse security support providers (SSPs) to execute DLLs when the system boots. Windows SSP DLLs are loaded into the Local Security Authority (LSA) process at system start. Once loaded into the LSA, SSP DLLs have access to encrypted and plaintext passwords that are stored in Windows, such as any logged-on user's Domain password or smart card PINs."
"Persistence","subtechnique","Boot or Logon Autostart Execution","Kernel Modules and Extensions","T1547.006","https://attack.mitre.org/techniques/T1547/006","Adversaries may modify the kernel to automatically execute programs on system boot. Loadable Kernel Modules (LKMs) are pieces of code that can be loaded and unloaded into the kernel upon demand. They extend the functionality of the kernel without the need to reboot the system. For example, one type of module is the device driver, which allows the kernel to access hardware connected to the system."
"Persistence","subtechnique","Boot or Logon Autostart Execution","Re-opened Applications","T1547.007","https://attack.mitre.org/techniques/T1547/007","Adversaries may modify plist files to automatically run an application when a user logs in. Starting in Mac OS X 10.7 (Lion), users can specify certain applications to be re-opened when a user logs into their machine after reboot. While this is usually done via a Graphical User Interface (GUI) on an app-by-app basis, there are property list files (plist) that contain this information as well located at ~/Library/Preferences/com.apple.loginwindow.plist and ~/Library/Preferences/ByHost/com.apple.loginwindow.* .plist. "
"Persistence","subtechnique","Boot or Logon Autostart Execution","LSASS Driver","T1547.008","https://attack.mitre.org/techniques/T1547/008","Adversaries may modify or add LSASS drivers to obtain persistence on compromised systems. The Windows security subsystem is a set of components that manage and enforce the security policy for a computer or domain. The Local Security Authority (LSA) is the main component responsible for local security policy and user authentication. The LSA includes multiple dynamic link libraries (DLLs) associated with various other security functions, all of which run in the context of the LSA Subsystem Service (LSASS) lsass.exe process."
"Persistence","subtechnique","Boot or Logon Autostart Execution","Shortcut Modification","T1547.009","https://attack.mitre.org/techniques/T1547/009","Adversaries may create or edit shortcuts to run a program during system boot or user login. Shortcuts or symbolic links are ways of referencing other files or programs that will be opened or executed when the shortcut is clicked or executed by a system startup process."
"Persistence","subtechnique","Boot or Logon Autostart Execution","Port Monitors","T1547.010","https://attack.mitre.org/techniques/T1547/010","Adversaries may use port monitors to run an attacker supplied DLL during system boot for persistence or privilege escalation. A port monitor can be set through the AddMonitor API call to set a DLL to be loaded at startup. This DLL can be located in C:\Windows\System32 and will be loaded by the print spooler service, spoolsv.exe, on boot. The spoolsv.exe process also runs under SYSTEM level permissions. Alternatively, an arbitrary DLL can be loaded if permissions allow writing a fully-qualified pathname for that DLL to HKLM\SYSTEM\CurrentControlSet\Control\Print\Monitors."
"Persistence","subtechnique","Boot or Logon Autostart Execution","Plist Modification","T1547.011","https://attack.mitre.org/techniques/T1547/011","Adversaries may modify plist files to run a program during system boot or user login. Property list (plist) files contain all of the information that macOS and OS X uses to configure applications and services. These files are UTF-8 encoded and formatted like XML documents via a series of keys surrounded by < >. They detail when programs should execute, file paths to the executables, program arguments, required OS permissions, and many others. plists are located in certain locations depending on their purpose such as /Library/Preferences (which execute with elevated privileges) and ~/Library/Preferences (which execute with a user's privileges). "
"Persistence","technique","Boot or Logon Initialization Scripts",,"T1037","https://attack.mitre.org/techniques/T1037","Adversaries may use scripts automatically executed at boot or logon initialization to establish persistence. Initialization scripts can be used to perform administrative functions, which may often execute other programs or send information to an internal logging server. These scripts can vary based on operating system and whether applied locally or remotely."
"Persistence","subtechnique","Boot or Logon Initialization Scripts","Logon Script (Windows)","T1037.001","https://attack.mitre.org/techniques/T1037/001","Adversaries may use Windows logon scripts automatically executed at logon initialization to establish persistence. Windows allows logon scripts to be run whenever a specific user or group of users log into a system. This is done via adding a path to a script to the HKCU\Environment\UserInitMprLogonScript Registry key."
"Persistence","subtechnique","Boot or Logon Initialization Scripts","Logon Script (Mac)","T1037.002","https://attack.mitre.org/techniques/T1037/002","Adversaries may use macOS logon scripts automatically executed at logon initialization to establish persistence. macOS allows logon scripts (known as login hooks) to be executed whenever a specific user logs into a system. A login hook tells Mac OS X to execute a certain script when a user logs in, but unlike Startup Items, a login hook executes as the elevated root user."
"Persistence","subtechnique","Boot or Logon Initialization Scripts","Network Logon Script","T1037.003","https://attack.mitre.org/techniques/T1037/003","Adversaries may use network logon scripts automatically executed at logon initialization to establish persistence. Network logon scripts can be assigned using Active Directory or Group Policy Objects. These logon scripts run with the privileges of the user they are assigned to. Depending on the systems within the network, initializing one of these scripts could apply to more than one or potentially all systems. "
"Persistence","subtechnique","Boot or Logon Initialization Scripts","Rc.common","T1037.004","https://attack.mitre.org/techniques/T1037/004","Adversaries may use rc.common automatically executed at boot initialization to establish persistence. During the boot process, macOS executes source /etc/rc.common, which is a shell script containing various utility functions. This file also defines routines for processing command-line arguments and for gathering system settings and is thus recommended to include in the start of Startup Item Scripts . In macOS and OS X, this is now a deprecated mechanism in favor of Launch Agent and Launch Daemon but is currently still used."
"Persistence","subtechnique","Boot or Logon Initialization Scripts","Startup Items","T1037.005","https://attack.mitre.org/techniques/T1037/005","Adversaries may use startup items automatically executed at boot initialization to establish persistence. Startup items execute during the final phase of the boot process and contain shell scripts or other executable files along with configuration information used by the system to determine the execution order for all startup items. "
"Persistence","technique","Browser Extensions",,"T1176","https://attack.mitre.org/techniques/T1176","Adversaries may abuse Internet browser extensions to establish persistence access to victim systems. Browser extensions or plugins are small programs that can add functionality and customize aspects of Internet browsers. They can be installed directly or through a browser's app store and generally have access and permissions to everything that the browser can access."
"Persistence","technique","Compromise Client Software Binary",,"T1554","https://attack.mitre.org/techniques/T1554","Adversaries may modify client software binaries to establish persistent access to systems. Client software enables users to access services provided by a server. Common client software types are SSH clients, FTP clients, email clients, and web browsers."
"Persistence","technique","Create Account",,"T1136","https://attack.mitre.org/techniques/T1136","Adversaries may create an account to maintain access to victim systems. With a sufficient level of access, creating such accounts may be used to establish secondary credentialed access that do not require persistent remote access tools to be deployed on the system."
